INSTNM,STABBR,ADM_RATE,NPT4_PUB,MD_EARN_WNE_P10,UGDS
Appalachian Bible College,WV,0.6914,NULL,28700,196
Appalachian College of Pharmacy,VA,NULL,NULL,NULL,NULL
Appalachian School of Law,VA,NULL,NULL,NULL,NULL
Appalachian State University,NC,0.6266,14165,36400,16116
Applied Technology Services,MO,0.7143,20565,38200,166
Aquinas College,MI,0.6509,NULL,35800,1734
Aquinas College,TN,0.6104,NULL,45400,406
Aquinas Institute of Theology,MO,NULL,NULL,NULL,NULL
Arapahoe Community College,CO,NULL,9238,35600,8627
Arcadia University,PA,0.588,NULL,42900,2482
Argosy University-Atlanta,GA,NULL,NULL,37000,422
Argosy University-Chicago,IL,NULL,NULL,37000,245
Argosy University-Dallas,TX,NULL,NULL,37000,271
Argosy University-Denver,CO,NULL,NULL,37000,125
Argosy University-Hawaii,HI,NULL,NULL,37000,419
Argosy University-Inland Empire,CA,NULL,NULL,37000,367
Argosy University-Los Angeles,CA,NULL,NULL,37000,297
Argosy University-Nashville,TN,NULL,NULL,37000,216
Argosy University-Orange County,CA,NULL,NULL,37000,222
Argosy University-Phoenix,AZ,NULL,NULL,37000,205
Argosy University-Phoenix Online Division,AZ,NULL,NULL,37000,8349
Argosy University-Salt Lake City,UT,NULL,NULL,37000,95
Argosy University-San Diego,CA,NULL,NULL,37000,234
Argosy University-San Francisco Bay Area,CA,NULL,NULL,37000,135
Argosy University-Sarasota,FL,NULL,NULL,37000,142
Argosy University-Schaumburg,IL,NULL,NULL,37000,84
Argosy University-Seattle,WA,NULL,NULL,37000,152
Argosy University-Tampa,FL,NULL,NULL,37000,131
Argosy University-The Art Institute of California-Hollywood,CA,NULL,NULL,37000,1602
Argosy University-The Art Institute of California-Inland Empire,CA,NULL,NULL,37000,1974
Argosy University-The Art Institute of California-Los Angeles,CA,NULL,NULL,37000,1436
Argosy University-The Art Institute of California-Orange County,CA,NULL,NULL,37000,1417
Argosy University-The Art Institute of California-Sacramento,CA,NULL,NULL,37000,993
Argosy University-The Art Institute of California-San Diego,CA,NULL,NULL,37000,1634
Argosy University-The Art Institute of California-San Francisco,CA,NULL,NULL,37000,1052
Argosy University-The Art Institute of California-Silicon Valley,CA,NULL,NULL,37000,436
Argosy University-Twin Cities,MN,NULL,NULL,37000,1072
Argosy University-Washington DC,VA,NULL,NULL,37000,114
Aria Health School of Nursing,PA,0.8,NULL,62400,217
Arizona Academy of Beauty-East,AZ,NULL,NULL,16300,32
Arizona Academy of Beauty-North,AZ,NULL,NULL,17400,49
Arizona Automotive Institute,AZ,NULL,NULL,33500,628
Arizona Christian University,AZ,0.5673,NULL,33500,620
Arizona College-Glendale,AZ,NULL,NULL,25000,630
Arizona College-Mesa,AZ,NULL,NULL,NULL,336
Arizona Culinary Institute,AZ,NULL,NULL,PrivacySuppressed,119
Arizona School of Acupuncture and Oriental Medicine,AZ,NULL,NULL,NULL,NULL
Arizona School of Integrative Studies,AZ,NULL,NULL,NULL,91
Arizona State University-Downtown Phoenix,AZ,0.7886,11536,NULL,9113
Arizona State University-Polytechnic,AZ,0.7673,11386,NULL,3726
Arizona State University-Skysong,AZ,0.6091,13773,NULL,11340
Arizona State University-Tempe,AZ,0.8433,10858,45100,39316
Arizona State University-West,AZ,0.778,8612,NULL,3280
Arizona Summit Law School,AZ,NULL,NULL,NULL,NULL
Arizona Western College,AZ,NULL,8978,27000,7218
Arkansas Baptist College,AR,NULL,NULL,22000,896
Arkansas Beauty College,AR,NULL,NULL,PrivacySuppressed,33
Arkansas Beauty School,AR,NULL,NULL,PrivacySuppressed,20
Arkansas Beauty School-Little Rock,AR,NULL,NULL,PrivacySuppressed,49
Arkansas College of Barbering & Hair Design -  SWLR Campus,AR,NULL,NULL,NULL,NULL
Arkansas College of Barbering and Hair Design,AR,NULL,NULL,17400,204
Arkansas College of Barbering and Hair Design,AR,NULL,NULL,17400,NULL
Arkansas Northeastern College,AR,NULL,8092,23000,1037
Arkansas State University Mid-South,AR,NULL,11141,22600,1127
Arkansas State University-Beebe,AR,NULL,6859,36300,2999
Arkansas State University-Main Campus,AR,0.7239,11752,31700,9139
Arkansas State University-Mountain Home,AR,NULL,5372,31700,1240
Arkansas State University-Newport,AR,NULL,5552,31700,1455
Arkansas Tech University,AR,0.8626,10205,33800,8845
Arlington Baptist College,TX,NULL,NULL,34200,214
Arlington Career Institute,TX,NULL,NULL,27600,204
Arlington Medical Institute,TX,NULL,NULL,24000,65
Armstrong State University,GA,0.6803,14668,38400,6162
Arnolds Beauty School,TN,NULL,NULL,16000,66
Arnot Ogden Medical Center,NY,0.7143,NULL,44900,70
Arrojo Cosmetology School,NY,NULL,NULL,NULL,29
Art Academy of Cincinnati,OH,0.2434,NULL,31500,201
Art Center College of Design,CA,0.809,NULL,56100,1814
Arthur's Beauty College Inc-Fort Smith,AR,NULL,NULL,13700,46
Arthur's Beauty College Inc-Jacksonville,AR,NULL,NULL,13800,56
Arthur's Beauty School Inc-Conway,AR,NULL,NULL,13800,85
Artistic Academy of Hair Design,NJ,NULL,NULL,PrivacySuppressed,156
Artistic Nails and Beauty Academy-Lakeland,FL,NULL,NULL,PrivacySuppressed,208
Artistic Nails and Beauty Academy-Tampa,FL,NULL,NULL,PrivacySuppressed,183
ASA College,NY,NULL,NULL,24100,4551
Asbury Theological Seminary,KY,NULL,NULL,42500,NULL
Asbury University,KY,0.687,NULL,33600,1499
Ashdown College of Health Sciences,CA,NULL,NULL,NULL,31
Asher College,CA,NULL,NULL,PrivacySuppressed,716
Asheville-Buncombe Technical Community College,NC,NULL,8481,27700,5861
Ashford University,CA,NULL,NULL,39100,44744
Ashland Community and Technical College,KY,NULL,6659,23700,2433
Ashland County-West Holmes Career Center,OH,NULL,9674,PrivacySuppressed,53
Ashland University,OH,0.7257,NULL,39000,3227
Ashtabula County Technical and Career Campus,OH,NULL,7996,25500,130
ASI Career Institute,NJ,NULL,NULL,NULL,109
Asian American International Beauty College,CA,NULL,NULL,11900,173
ASM Beauty World Academy,FL,NULL,NULL,PrivacySuppressed,328
Asnuntuck Community College,CT,NULL,7466,30900,1316
Aspen Beauty Academy of Laurel,MD,NULL,NULL,NULL,75
Aspen University,CO,NULL,NULL,NULL,231
Assabet Valley Regional Technical School,MA,0.8462,17122,PrivacySuppressed,44
Assemblies of God Theological Seminary,MO,NULL,NULL,PrivacySuppressed,NULL
Associated Beth Rivkah Schools,NY,0.9744,NULL,10100,147
Associated Technical College-Los Angeles,CA,NULL,NULL,23500,361
Associated Technical College-San Diego,CA,NULL,NULL,18000,119
Assumption College,MA,0.813,NULL,53600,2193
Astrodome Career Centers,TX,NULL,NULL,NULL,41
ATA Career Education,FL,NULL,NULL,PrivacySuppressed,206
ATA College,KY,NULL,NULL,PrivacySuppressed,439
Atelier Esthetique Institute of Esthetics,NY,NULL,NULL,NULL,127
Atenas College,PR,NULL,NULL,15500,1363
ATEP at IVC,CA,NULL,NULL,34200,NULL
Athena Career Academy,OH,NULL,NULL,NULL,165
Athens State University,AL,NULL,NULL,39000,2991
Athens Technical College,GA,NULL,6282,27300,4002
ATI College-Norwalk,CA,NULL,NULL,PrivacySuppressed,109
Atlanta Beauty & Barber Academy,GA,NULL,NULL,NULL,257
Atlanta Institute of Music and Media,GA,0.873,NULL,21400,170
Atlanta Metropolitan State College,GA,NULL,10556,27400,2850
Atlanta School of Massage,GA,NULL,NULL,27400,78
Atlanta Technical College,GA,NULL,4029,21100,4017
Atlanta's John Marshall Law School,GA,NULL,NULL,NULL,NULL
Atlantic Beauty & Spa Academy LLC,NJ,NULL,NULL,PrivacySuppressed,131
Atlantic Cape Community College,NJ,NULL,9343,28100,6359
Atlantic Institute of Oriental Medicine,FL,NULL,NULL,PrivacySuppressed,23
Atlantic Technical College,FL,NULL,9617,31900,2599
Atlantic University College,PR,NULL,NULL,19400,1425
ATS Institute of Technology,OH,0.7467,NULL,22100,459
Auburn Career Center,OH,NULL,12005,PrivacySuppressed,167
Auburn University,AL,0.8347,18644,45700,20514
Auburn University at Montgomery,AL,0.8017,13431,35000,4304
Augsburg College,MN,0.6802,NULL,45700,2552
Augusta Area Dietetic Internship-University Hospital,GA,NULL,NULL,NULL,NULL
Augusta School of Massage,GA,NULL,NULL,PrivacySuppressed,48
Augusta Technical College,GA,NULL,9381,23200,4114
Augusta University,GA,0.7654,8042,NULL,5030
Augustana College,IL,0.5361,NULL,47900,2469
Augustana University,SD,0.6129,NULL,41800,1619
Auguste Escoffier School of Culinary Arts-Austin,TX,NULL,NULL,PrivacySuppressed,294
Auguste Escoffier School of Culinary Arts-Boulder,CO,NULL,NULL,NULL,382
Aultman College of Nursing and Health Sciences,OH,0.75,NULL,54100,356
Aurora University,IL,0.811,NULL,41100,3199
Austin College,TX,0.5438,NULL,47800,1272
Austin Community College District,TX,NULL,8404,34400,32581
Austin Graduate School of Theology,TX,NULL,NULL,PrivacySuppressed,17
Austin Kade Academy,ID,NULL,NULL,NULL,193
Austin Peay State University,TN,0.8927,11325,34200,9003
Austin Presbyterian Theological Seminary,TX,NULL,NULL,NULL,NULL
Austin's School of Spa Technology,NY,NULL,NULL,17200,283
Automeca Technical College-Aguadilla,PR,NULL,NULL,18200,348
Automeca Technical College-Bayamon,PR,NULL,NULL,18200,687
Automeca Technical College-Caguas,PR,NULL,NULL,18200,263
Automeca Technical College-Ponce,PR,NULL,NULL,18200,289
Automotive Training Center-Exton,PA,NULL,NULL,43000,372
Automotive Training Center-Warminster,PA,NULL,NULL,43000,319
Autry Technology Center,OK,0.6533,11918,25200,303
Avalon School of Cosmetology,MN,NULL,NULL,NULL,29
Avalon School of Cosmetology-Alameda,CA,NULL,NULL,21600,253
Avalon School of Cosmetology-Layton,UT,NULL,NULL,19600,165
Avalon School of Cosmetology-Mesa,AZ,NULL,NULL,19600,360
Avalon School of Cosmetology-Phoenix,AZ,NULL,NULL,19600,318
Avance Beauty College,CA,NULL,NULL,PrivacySuppressed,60
Avant Gard The School,IN,NULL,NULL,NULL,36
Ave Maria School of Law,FL,NULL,NULL,NULL,NULL
Ave Maria University,FL,0.517,NULL,PrivacySuppressed,1019
Aveda Fredric's Institute-Cincinnati,OH,NULL,NULL,NULL,226
Aveda Fredric's Institute-Indianapolis,IN,NULL,NULL,NULL,218
Aveda Institute-Baton Rouge,LA,NULL,NULL,16100,210
Aveda Institute-Boise,ID,NULL,NULL,NULL,58
Aveda Institute-Chapel Hill,NC,NULL,NULL,NULL,180
Aveda Institute-Chicago,IL,NULL,NULL,NULL,169
Aveda Institute-Columbus,OH,NULL,NULL,NULL,287
