INSTNM,STABBR,ADM_RATE,NPT4_PUB,MD_EARN_WNE_P10,UGDS
Emporia State University,KS,0.7649,13970,35700,3777
Endicott College,MA,0.7315,NULL,46900,2781
Enid Beauty College,OK,NULL,NULL,PrivacySuppressed,38
Enterprise State Community College,AL,NULL,3762,24600,1729
Entourage Institute of Beauty and Esthetics,KS,NULL,NULL,NULL,111
Epic Bible College,CA,NULL,NULL,28900,208
Episcopal Divinity School,MA,NULL,NULL,NULL,NULL
Eric Fisher Academy,KS,NULL,NULL,NULL,145
Erie 1 BOCES,NY,NULL,6327,35100,369
Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program,NY,NULL,11419,31000,134
Erie Community College,NY,NULL,4729,32100,10624
Erie Institute of Technology Inc,PA,NULL,NULL,32400,232
Erikson Institute,IL,NULL,NULL,NULL,NULL
Erskine College,SC,0.6057,NULL,37600,587
Erwin Technical College,FL,NULL,14211,28300,751
Escuela de Artes Plasticas y Diseno de Puerto Rico,PR,0.9273,1869,17200,555
Escuela de Peritos Electricistas de Isabela Inc,PR,NULL,NULL,19000,107
Escuela De Troqueleria Y Herramentaje,PR,NULL,1526,20300,88
Escuela Hotelera de San Juan,PR,NULL,NULL,PrivacySuppressed,938
Escuela Tecnica de Electricidad,PR,NULL,NULL,19500,469
Essex County College,NJ,NULL,3717,30100,10251
Estelle Skin Care and Spa Institute,IL,NULL,NULL,NULL,86
Estes Institute of Cosmetology Arts and Science,CA,NULL,NULL,14700,76
Estrella Mountain Community College,AZ,NULL,7790,30500,7735
Eternity Cosmetology School,FL,NULL,NULL,NULL,177
ETI School of Skilled Trades,IL,NULL,NULL,39100,294
ETI Technical College,OH,NULL,NULL,22700,152
Euphoria Institute of Beauty Arts & Sciences-Green Valley,NV,NULL,NULL,27100,137
Euphoria Institute of Beauty Arts & Sciences-Summerlin,NV,NULL,NULL,27100,297
Eureka College,IL,0.6448,NULL,35500,652
Eureka Institute of Health and Beauty,FL,NULL,NULL,NULL,82
European Academy of Cosmetology and Hairdressing,CT,NULL,NULL,NULL,12
European Massage Therapy School-Las Vegas,NV,NULL,NULL,PrivacySuppressed,70
European Massage Therapy School-Skokie,IL,NULL,NULL,PrivacySuppressed,64
Evangel University,MO,0.6453,NULL,34700,1788
Evangelical Theological Seminary,PA,NULL,NULL,NULL,NULL
Evans Hairstyling College-Cedar City,UT,NULL,NULL,PrivacySuppressed,31
Evans Hairstyling College-Rexburg,ID,NULL,NULL,NULL,61
Evans Hairstyling College-St George,UT,NULL,NULL,PrivacySuppressed,35
Everest College-Alhambra,CA,NULL,NULL,26300,439
Everest College-Anaheim,CA,NULL,NULL,26600,443
Everest College-Arlington,TX,NULL,NULL,22500,505
Everest College-Atlanta West,GA,NULL,NULL,28800,628
Everest College-Aurora,CO,NULL,NULL,26000,328
Everest College-Bedford Park,IL,NULL,NULL,26300,393
Everest College-Bremerton,WA,NULL,NULL,28900,232
Everest College-Burr Ridge,IL,NULL,NULL,22200,251
Everest College-Chesapeake,VA,NULL,NULL,21400,671
Everest College-City of Industry,CA,NULL,NULL,24600,889
Everest College-Colorado Springs,CO,NULL,NULL,24400,330
Everest College-Dallas,TX,NULL,NULL,23700,712
Everest College-Earth City,MO,NULL,NULL,28900,185
Everest College-Everett,WA,NULL,NULL,28900,410
Everest College-Fort Worth,TX,NULL,NULL,24400,204
Everest College-Fort Worth South,TX,NULL,NULL,24400,516
Everest College-Gardena,CA,NULL,NULL,25000,424
Everest College-Henderson,NV,NULL,NULL,23800,800
Everest College-Kansas City,MO,NULL,NULL,NULL,320
Everest College-McLean,VA,NULL,NULL,24400,149
Everest College-Melrose Park,IL,NULL,NULL,22200,389
Everest College-Merrillville,IN,NULL,NULL,22300,385
Everest College-Merrionette Park,IL,NULL,NULL,27300,337
Everest College-Mesa,AZ,NULL,NULL,28600,270
Everest College-Newport News,VA,NULL,NULL,21400,433
Everest College-North Aurora,IL,NULL,NULL,26500,70
Everest College-Ontario,CA,NULL,NULL,23100,707
Everest College-Ontario Metro,CA,NULL,NULL,24000,720
Everest College-Phoenix,AZ,NULL,NULL,28600,4102
Everest College-Portland,OR,NULL,NULL,23700,161
Everest College-Renton,WA,NULL,NULL,29100,342
Everest College-Reseda,CA,NULL,NULL,28800,596
Everest College-Salt Lake City,UT,NULL,NULL,24400,217
Everest College-San Bernardino,CA,NULL,NULL,22400,737
Everest College-Santa Ana,CA,NULL,NULL,24400,333
Everest College-Seattle,WA,NULL,NULL,24600,123
Everest College-Skokie,IL,NULL,NULL,22200,279
Everest College-Springfield,MO,NULL,NULL,24000,232
Everest College-Tacoma,WA,NULL,NULL,28900,795
Everest College-Thornton,CO,NULL,NULL,26000,342
Everest College-Torrance,CA,NULL,NULL,20700,142
Everest College-Vancouver,WA,NULL,NULL,23700,247
Everest College-West Los Angeles,CA,NULL,NULL,24600,340
Everest College-Woodbridge,VA,NULL,NULL,NULL,551
Everest Institute-Austin,TX,NULL,NULL,20600,719
Everest Institute-Bensalem,PA,NULL,NULL,24600,244
Everest Institute-Bissonnet,TX,NULL,NULL,29100,785
Everest Institute-Brighton,MA,NULL,NULL,26500,85
Everest Institute-Chelsea,MA,NULL,NULL,26300,194
Everest Institute-Cross Lanes,WV,NULL,NULL,23500,63
Everest Institute-Dearborn,MI,NULL,NULL,20600,608
Everest Institute-Detroit,MI,NULL,NULL,20600,448
Everest Institute-Eagan,MN,NULL,NULL,23500,105
Everest Institute-Gahanna,OH,NULL,NULL,23100,405
Everest Institute-Grand Rapids,MI,NULL,NULL,22300,305
Everest Institute-Greenspoint,TX,NULL,NULL,23200,623
Everest Institute-Hobby,TX,NULL,NULL,23200,586
Everest Institute-Jonesboro,GA,NULL,NULL,23100,404
Everest Institute-Kalamazoo,MI,NULL,NULL,22300,168
Everest Institute-Kendall,FL,NULL,NULL,28200,147
Everest Institute-Marietta,GA,NULL,NULL,28800,335
Everest Institute-Norcross,GA,NULL,NULL,25000,548
Everest Institute-North Miami,FL,NULL,NULL,24700,196
Everest Institute-Pittsburgh,PA,NULL,NULL,19400,526
Everest Institute-Rochester,NY,NULL,NULL,22500,545
Everest Institute-San Antonio,TX,NULL,NULL,23200,464
Everest Institute-Silver Spring,MD,NULL,NULL,23700,186
Everest Institute-South Plainfield,NJ,NULL,NULL,20600,615
Everest Institute-Southfield,MI,NULL,NULL,20600,875
Everest Institute-Tigard,OR,NULL,NULL,24600,333
Everest University-Brandon,FL,NULL,NULL,25700,2290
Everest University-Jacksonville,FL,NULL,NULL,25000,519
Everest University-Lakeland,FL,NULL,NULL,25000,367
Everest University-Largo,FL,NULL,NULL,25000,426
Everest University-Melbourne,FL,NULL,NULL,23900,371
Everest University-North Orlando,FL,NULL,NULL,23900,584
Everest University-Orange Park,FL,NULL,NULL,25700,558
Everest University-Pompano Beach,FL,NULL,NULL,27300,1270
Everest University-South Orlando,FL,NULL,NULL,23900,22340
Everest University-Tampa,FL,NULL,NULL,25700,518
Everett Community College,WA,NULL,7069,34400,4800
Everglades University,FL,0.8588,NULL,40400,1284
Everglades University-Orlando,FL,NULL,NULL,40400,NULL
Everglades University-Sarasota,FL,NULL,NULL,40400,NULL
Evergreen Beauty and Barber College-Bellevue,WA,NULL,NULL,PrivacySuppressed,90
Evergreen Beauty and Barber College-Everett,WA,NULL,NULL,PrivacySuppressed,106
Evergreen Valley College,CA,NULL,10056,33300,7325
Eves College of Hairstyling,OK,NULL,NULL,14800,79
Excel Academies of Cosmetology,MI,NULL,NULL,NULL,25
Excel Academies of Cosmetology-Kentwood,MI,NULL,NULL,NULL,47
Excel Academies of Cosmetology-Merrillville,IN,NULL,NULL,NULL,35
Excel Academies of Cosmetology-Troy,MI,NULL,NULL,NULL,33
Excel Learning Center,TX,NULL,NULL,NULL,171
Excel Learning Center-San Antonio,TX,NULL,NULL,NULL,114
Excel Learning Center-San Antonio South,TX,NULL,NULL,NULL,NULL
Excelsior College,NY,NULL,NULL,PrivacySuppressed,38426
Expertise Cosmetology Institute,NV,NULL,NULL,PrivacySuppressed,81
Expertise Cosmetology Institute,OH,NULL,NULL,PrivacySuppressed,NULL
Exposito School of Hair Design,TX,NULL,NULL,15100,46
Expression College for Digital Arts,CA,NULL,NULL,PrivacySuppressed,445
Fab School,CA,NULL,NULL,NULL,107
Fairfield University,CT,0.7153,NULL,68500,3841
Fairleigh Dickinson University-College at Florham,NJ,0.8075,NULL,47500,2359
Fairleigh Dickinson University-Metropolitan Campus,NJ,0.8011,NULL,47500,3870
Fairmont State University,WV,0.6651,8756,33400,3699
Fairview Beauty Academy,OH,NULL,NULL,PrivacySuppressed,52
Faith Baptist Bible College and Theological Seminary,IA,0.6733,NULL,29800,232
Faith Evangelical College & Seminary,WA,NULL,NULL,PrivacySuppressed,144
Faith Theological Seminary,MD,0.5714,NULL,NULL,70
Family of Faith College,OK,0.3478,NULL,PrivacySuppressed,22
Faris Technical Institute Inc,TX,NULL,NULL,PrivacySuppressed,17
Farmingdale State College,NY,0.4665,9516,46600,7768
Fashion Focus Hair Academy,FL,NULL,NULL,PrivacySuppressed,67
Fashion Institute of Design & Merchandising-Los Angeles,CA,0.5178,NULL,35400,3142
Fashion Institute of Design & Merchandising-Orange County,CA,0.6604,NULL,35400,156
Fashion Institute of Design & Merchandising-San Diego,CA,0.5867,NULL,35400,142
Fashion Institute of Design & Merchandising-San Francisco,CA,0.5388,NULL,35400,527
Fashion Institute of Technology,NY,0.4428,12442,45200,8260
Faulkner University,AL,NULL,NULL,37200,2367
Faust Institute of Cosmetology-Spirit Lake,IA,NULL,NULL,16000,14
Faust Institute of Cosmetology-Storm Lake,IA,NULL,NULL,16000,22
Fayette Beauty Academy,GA,NULL,NULL,12900,48
Fayette Beauty Academy-Ritz Beauty Academy,GA,NULL,NULL,NULL,19
Fayette Beauty Academy-Ritz Beauty Academy,GA,NULL,NULL,NULL,7
Fayette County Career & Technical Institute Practical Nursing Program,PA,NULL,9383,29800,118
Fayette Institute of Technology,WV,NULL,2431,PrivacySuppressed,35
Fayetteville Beauty College,NC,NULL,NULL,13500,68
Fayetteville College of Cosmetology Arts and Sciences,TN,NULL,NULL,15200,62
Fayetteville State University,NC,0.5032,6794,30500,4862
Fayetteville Technical Community College,NC,NULL,4446,26800,10598
Feather River Community College District,CA,NULL,9262,23000,1543
Federico Beauty Institute,CA,NULL,NULL,23000,283
Felician University,NJ,0.8416,NULL,40300,1629
Ferris State University,MI,0.7842,13230,41500,12632
Ferrum College,VA,0.7331,NULL,36400,1447
Fielding Graduate University,CA,NULL,NULL,NULL,NULL
FINE Mortuary College,MA,0.7647,NULL,PrivacySuppressed,95
Finger Lakes Community College,NY,NULL,10042,28600,4250
Finger Lakes School of Massage,NY,NULL,NULL,NULL,51
Finger Lakes School of Massage,NY,NULL,NULL,NULL,61
Finger Lakes School of Massage,MD,NULL,NULL,NULL,70
Finlandia University,MI,0.4545,NULL,27000,464
Firelands Regional Medical Center School of Nursing,OH,NULL,NULL,PrivacySuppressed,89
First Class Cosmetology School,WI,NULL,NULL,NULL,78
First Coast Barber Academy,FL,NULL,NULL,NULL,18
First Coast Technical College,FL,NULL,10523,22800,542
First Institute Inc,IL,NULL,NULL,35900,286
Fisher College,MA,0.6557,NULL,29600,1631
Fisk University,TN,0.8345,NULL,32500,721
Fitchburg State University,MA,0.7231,13737,40500,4134
Five Branches University,CA,NULL,NULL,PrivacySuppressed,NULL
Five Towns College,NY,0.5612,NULL,33500,637
Flagler College-St Augustine,FL,0.4788,NULL,36900,2767
Flagler College-Tallahassee,FL,NULL,NULL,36900,457
Flagler Technical Institute,FL,NULL,16477,NULL,269
Flair Beauty College,CA,NULL,NULL,NULL,46
Flathead Valley Community College,MT,NULL,7965,26600,1625
Fletcher Technical Community College,LA,NULL,9305,30000,1642
Flint Hills Technical College,KS,NULL,15041,28300,548
Flint Institute of Barbering Inc,MI,0.7143,NULL,PrivacySuppressed,56
Florence-Darlington Technical College,SC,NULL,7065,25200,6165
Florida Academy,FL,NULL,NULL,NULL,200
Florida Academy of Health & Beauty,FL,NULL,NULL,PrivacySuppressed,31
Florida Agricultural and Mechanical University,FL,0.4895,12327,35400,7995
Florida Atlantic University,FL,0.6603,13372,40700,24228
Florida Barber Academy,FL,NULL,NULL,NULL,241
Florida Career College-Miami,FL,NULL,NULL,30100,6227
Florida Center,FL,NULL,NULL,39600,NULL
Florida Coastal School of Law,FL,NULL,NULL,NULL,NULL
Florida College,FL,0.7659,NULL,38200,555
Florida College of Integrative Medicine,FL,NULL,NULL,PrivacySuppressed,NULL
Florida College of Natural Health-Bradenton,FL,NULL,NULL,25000,143
Florida College of Natural Health-Maitland,FL,NULL,NULL,25000,418
Florida College of Natural Health-Miami,FL,NULL,NULL,25000,202
Florida College of Natural Health-Pompano Beach,FL,NULL,NULL,25000,203
Florida Education Institute,FL,NULL,NULL,14200,316
Florida Gateway College,FL,NULL,3844,28000,2170
Florida Gulf Coast University,FL,0.5888,13624,41400,13253
Florida Institute of Recording Sound and Technology,FL,NULL,NULL,NULL,170
Florida Institute of Technology,FL,0.6157,NULL,55200,3348
Florida Institute of Technology-Online,FL,NULL,NULL,55200,2063
Florida Institute of Ultrasound Inc,FL,NULL,NULL,46100,52
Florida International University,FL,0.5278,11845,43700,39102
Florida Keys Community College,FL,NULL,13696,29100,833
Florida Memorial University,FL,0.2054,NULL,26200,1478
Florida National University Training Center,FL,NULL,NULL,20900,NULL
Florida National University-Main Campus,FL,NULL,NULL,20900,1798
Florida National University-South Campus,FL,NULL,NULL,20900,NULL
Florida Panhandle Technical College,FL,NULL,18895,22900,210
Florida School of Massage,FL,NULL,NULL,NULL,81
Florida School of Traditional Midwifery,FL,NULL,NULL,NULL,49
Florida Southern College,FL,0.4481,NULL,38500,2352
Florida SouthWestern State College,FL,NULL,10436,32500,12620
Florida State College at Jacksonville,FL,NULL,7546,31300,22539
Florida State University,FL,0.5539,15827,44000,32432
Florida Technical College,FL,NULL,NULL,25000,2977
Florida Vocational Institute,FL,NULL,NULL,NULL,106
Focus-Hope Information Technologies Center,MI,NULL,NULL,NULL,109
Folsom Lake College,CA,NULL,9104,PrivacySuppressed,7307
Fond du Lac Tribal and Community College,MN,NULL,11943,24600,897
Fontbonne University,MO,0.9061,NULL,39400,1121
Foothill College,CA,NULL,4640,43800,13478
Forbes Road Career and Technology Center,PA,NULL,NULL,NULL,25
Fordham University,NY,0.4812,NULL,56200,8485
Forest Institute of Professional Psychology,MO,NULL,NULL,NULL,NULL
Forrest College,SC,NULL,NULL,21700,111
Forsyth Technical Community College,NC,NULL,4386,25700,8325
Fort Hays State University,KS,0.8789,11603,37600,11298
Fort Lewis College,CO,0.9082,15254,34000,3609
Fort Myers Technical College,FL,NULL,6575,29100,630
Fort Peck Community College,MT,NULL,3793,15300,323
Fort Pierce Beauty Academy,FL,NULL,NULL,12500,28
Fort Scott Community College,KS,NULL,5966,26900,1316
Fort Valley State University,GA,0.2419,15001,27900,2172
Fort Worth Beauty School,TX,NULL,NULL,17600,27
Fortis College-Akron,OH,NULL,NULL,23200,93
Fortis College-Baton Rouge,LA,NULL,NULL,23500,382
Fortis College-Centerville,OH,NULL,NULL,28700,1645
Fortis College-Cincinnati,OH,NULL,NULL,26900,471
Fortis College-Columbia,SC,NULL,NULL,26900,529
Fortis College-Columbus,OH,NULL,NULL,26900,694
Fortis College-Cutler Bay,FL,NULL,NULL,21200,236
Fortis College-Cuyahoga Falls,OH,NULL,NULL,23200,526
Fortis College-Dothan,AL,NULL,NULL,20600,181
Fortis College-Foley,AL,NULL,NULL,20600,104
Fortis College-Grand Prairie,TX,NULL,NULL,23500,260
Fortis College-Houston,TX,NULL,NULL,PrivacySuppressed,287
Fortis College-Indianapolis,IN,NULL,NULL,21200,231
Fortis College-Landover,MD,NULL,NULL,24300,499
Fortis College-Largo,FL,NULL,NULL,21200,207
Fortis College-Mobile,AL,NULL,NULL,20400,352
Fortis College-Montgomery,AL,NULL,NULL,20400,315
Fortis College-Montgomery,AL,NULL,NULL,20400,240
Fortis College-Norfolk,VA,NULL,NULL,23600,315
Fortis College-Orange Park,FL,NULL,NULL,23200,312
Fortis College-Phoenix,AZ,NULL,NULL,28700,290
Fortis College-Ravenna,OH,NULL,NULL,23600,269
Fortis College-Richmond,VA,NULL,NULL,23600,491
Fortis College-Salt Lake City,UT,NULL,NULL,23200,371
Fortis College-Smyrna,GA,NULL,NULL,26900,642
Fortis College-Winter Park,FL,NULL,NULL,21200,14
Fortis Institute,FL,NULL,NULL,24700,276
Fortis Institute-Baltimore,MD,NULL,NULL,34300,515
Fortis Institute-Birmingham,AL,NULL,NULL,24300,592
Fortis Institute-Cookeville,TN,NULL,NULL,24700,226
Fortis Institute-Erie,PA,NULL,NULL,24300,652
Fortis Institute-Fort Lauderdale,FL,NULL,NULL,23500,175
Fortis Institute-Forty Fort,PA,NULL,NULL,22800,186
Fortis Institute-Houston,TX,NULL,NULL,PrivacySuppressed,340
Fortis Institute-Jacksonville,FL,NULL,NULL,23200,14
Fortis Institute-Lawrenceville,NJ,NULL,NULL,30400,290
Fortis Institute-Miami,FL,NULL,NULL,24700,26
Fortis Institute-Mulberry,FL,NULL,NULL,22400,44
Fortis Institute-Nashville,TN,NULL,NULL,23500,367
Fortis Institute-Pensacola,FL,NULL,NULL,20400,712
Fortis Institute-Port Saint Lucie,FL,NULL,NULL,23500,489
Fortis Institute-Scranton,PA,NULL,NULL,20600,385
Fortis Institute-Towson,MD,NULL,NULL,26900,719
Fortis Institute-Wayne,NJ,NULL,NULL,30400,564
Fosters Cosmetology College,MS,NULL,NULL,PrivacySuppressed,34
Fountain of Youth Academy of Cosmetology,PA,NULL,NULL,NULL,12
Fountainhead College of Technology,TN,NULL,NULL,37200,123
Four County Career Center,OH,NULL,NULL,NULL,79
Four Rivers Career Center,MO,NULL,17364,PrivacySuppressed,36
Four-D College,CA,NULL,NULL,NULL,633
Fox College,IL,0.6667,NULL,34500,354
Fox Valley Technical College,WI,NULL,9801,35400,7041
Framingham State University,MA,0.6226,17801,45000,4329
Francis Marion University,SC,0.5911,10563,33000,3249
Francis Tuttle Technology Center,OK,NULL,7721,30300,977
Franciscan School of Theology,CA,NULL,NULL,NULL,NULL
Franciscan School of Theology,CA,NULL,NULL,NULL,NULL
Franciscan University of Steubenville,OH,0.7792,NULL,35000,2065
Francois D College of Hair Skin and Nails,UT,NULL,NULL,15200,72
Frank Lloyd Wright School of Architecture,AZ,NULL,NULL,NULL,NULL
Frank Phillips College,TX,NULL,7102,29500,451
Franklin Academy,TN,NULL,NULL,15900,58
Franklin and Marshall College,PA,0.3893,NULL,52700,2182
Franklin Career Institute,NY,NULL,NULL,20000,598
Franklin Career Institute - Brooklyn Campus,NY,NULL,NULL,20000,NULL
Franklin College,IN,0.6922,NULL,40800,1022
Franklin County Career and Technology Center,PA,NULL,18634,37000,58
Franklin Pierce University,NH,0.843,NULL,37000,1731
Franklin Technology-MSSU,MO,NULL,23235,24300,178
Franklin University,OH,NULL,NULL,47300,4592
Franklin W Olin College of Engineering,MA,0.12,NULL,PrivacySuppressed,334
Fred D. Learey Technical College,FL,NULL,NULL,NULL,461
Fred W Eberle Technical Center,WV,NULL,6727,33800,109
Frederick Community College,MD,NULL,5683,35400,5248
Frederick School of Cosmetology,MD,NULL,NULL,NULL,17
Fredrick and Charles Beauty College,CA,NULL,NULL,PrivacySuppressed,73
Freed-Hardeman University,TN,0.9339,NULL,36100,1310
Fremont College,CA,NULL,NULL,31600,387
Fremont College,CA,NULL,NULL,31600,NULL
French Academy of Cosmetology,MI,NULL,NULL,NULL,58
Fresno City College,CA,NULL,4503,25900,19770
Fresno Pacific University,CA,0.6662,NULL,38200,2605
Friends University,KS,0.6138,NULL,41500,1339
Front Range Community College,CO,NULL,10030,34100,15551
Frontier Community College,IL,NULL,166,25700,293
Frontier Nursing University,KY,NULL,NULL,NULL,NULL
Frostburg State University,MD,0.5851,17755,43500,4765
Full Sail University,FL,NULL,NULL,35200,17205
Fuller Theological Seminary in California,CA,NULL,NULL,PrivacySuppressed,NULL
Fullerton College,CA,NULL,6456,32100,22990
Fulton-Montgomery Community College,NY,NULL,8171,29800,2008
Furman University,SC,0.6871,NULL,46700,2796
Futura Career Institute,FL,NULL,NULL,NULL,138
Future Generations Graduate School,WV,NULL,NULL,NULL,NULL
Future-Tech Institute,FL,NULL,NULL,NULL,38
G Skin & Beauty Institute,IL,NULL,NULL,27200,292
Gadsden State Community College,AL,NULL,4352,25700,4917
Galaxy Medical College,CA,NULL,NULL,NULL,31
Galen College of Nursing-Cincinnati,OH,NULL,NULL,38000,439
Galen College of Nursing-Louisville,KY,NULL,NULL,38000,879
Galen College of Nursing-San Antonio,TX,NULL,NULL,38000,1097
Galen College of Nursing-Tampa Bay,FL,NULL,NULL,38000,862
Gallaudet University,DC,0.6532,NULL,26000,1001
Gallery College of Beauty,MI,NULL,NULL,NULL,142
Gallipolis Career College,OH,NULL,NULL,14500,96
