name,city,state,adm_rate,pd1,pd3,pd4,pd5,pd9,pd10,pd11,pd12,pd13,pd14,pd15,pd16,pd19,pd22,pd23,pd24,pd25,pd26,pd27,pd29,pd30,pd31,pd38,pd39,pd40,pd41,pd42,pd43,pd44,pd45,pd46,pd47,pd48,pd49,pd50,pd51,pd52,pd54,pop,debt,earnings
Augsburg College,Minneapolis,MN,0.6802,0,0.0034,0,0.0119,0.0815,0,0.0204,0,0.0798,0,0,0.0034,0,0,0.0289,0.0034,0,0.0221,0.0119,0,0.0102,0.0255,0.0068,0.0051,0.0407,0,0.0679,0,0.0441,0.0798,0,0,0,0,0.0764,0.1222,0.2275,0.0272,2552,27000,45700
Augustana College,Rock Island,IL,0.5361,0,0.0082,0,0.0033,0.0313,0,0.0181,0,0.084,0.0099,0,0.0264,0,0,0.0379,0.0033,0,0.2521,0.0181,0,0,0,0.0214,0,0.028,0,0.0758,0,0,0.0873,0,0,0,0,0.0362,0.0873,0.1549,0.0165,2469,27000,47900
Augustana University,Sioux Falls,SD,0.6129,0,0,0,0,0.0249,0,0.0249,0,0.1136,0.0055,0,0.0166,0,0,0.0443,0.0055,0,0.1524,0.0166,0,0,0.0665,0.0055,0,0.0055,0,0.0609,0,0,0.0554,0,0,0,0,0.0499,0.169,0.1607,0.0222,1619,27000,41800
Aultman College of Nursing and Health Sciences,Canton,OH,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,356,19000,54100
Aurora University,Aurora,IL,0.811,0,0,0,0.0054,0.0564,0,0.0134,0,0.1181,0,0,0.004,0,0,0.0268,0.004,0,0.0376,0.0121,0,0,0.0336,0.004,0,0,0,0.051,0.0779,0.106,0.0161,0,0,0,0,0.0094,0.2242,0.1826,0.0174,3199,21677.5,41100
Austin College,Sherman,TX,0.5438,0,0.0121,0,0.0081,0.0324,0,0.0243,0,0,0,0,0.0567,0,0,0.0445,0,0,0.1093,0.0243,0,0.0364,0,0.0162,0,0.0526,0,0.1457,0,0,0.1377,0,0,0,0,0.0769,0,0.1538,0.0688,1272,26000,47800
Austin Peay State University,Clarksville,TN,0.8927,0.015,0,0,0,0.0488,0,0.0372,0,0.071,0,0.0211,0.0067,0,0,0.0283,0.1632,0,0.0339,0.0078,0,0,0.0733,0.0006,0,0.0194,0,0.0488,0.0666,0.0377,0.0466,0,0.0006,0,0,0.0361,0.091,0.1199,0.0266,9003,23202,34200
Averett University,Danville,VA,0.5964,0.0428,0.0321,0,0,0.0481,0,0.0428,0,0.1016,0,0,0,0,0,0.0214,0.0267,0,0,0.0267,0,0.0053,0.1176,0,0,0,0,0.0695,0.1337,0,0.0107,0,0,0,0.0321,0.0374,0.139,0.107,0.0053,836,25000,42400
Avila University,Kansas City,MO,0.5198,0,0,0,0,0.0511,0,0.0182,0,0.0584,0,0,0,0,0,0.0146,0,0,0.0109,0,0,0,0.0584,0,0,0,0,0.1022,0,0.0547,0.0292,0,0,0,0,0.0985,0.3577,0.1204,0.0255,1321,26625,41100
Azusa Pacific University,Azusa,CA,0.8183,0,0,0,0.008,0.0544,0,0.0114,0,0.0418,0,0,0.0052,0,0,0.0343,0.0767,0,0.0177,0.0114,0,0,0,0.0057,0.0384,0.0069,0,0.0813,0,0.0206,0.0389,0,0,0,0,0.091,0.2295,0.2124,0.0143,5918,22500,50000
Babson College,Wellesley,MA,0.2631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2107,27000,86700
Bacone College,Muskogee,OK,0.4296,0.0083,0,0,0.0579,0.0248,0,0,0,0.0909,0,0,0,0.0165,0,0,0.1653,0,0,0,0,0,0.1653,0,0.0165,0,0,0,0.1405,0,0,0,0,0,0,0.0083,0.2397,0.0661,0,939,26350,29700
Baker University,Baldwin City,KS,0.6953,0,0,0,0,0.012,0,0.0069,0,0.0292,0,0,0.0051,0,0,0.0086,0,0,0.0223,0.0051,0,0.012,0.06,0,0,0.0103,0,0.0086,0,0,0.0395,0,0,0,0,0.0034,0.1441,0.6226,0.0103,1649,25250,48800
Baldwin Wallace University,Berea,OH,0.6397,0,0.0093,0,0,0.0582,0,0.0185,0,0.1058,0,0,0.0079,0,0,0.0423,0,0,0.0728,0.0132,0,0.037,0.041,0.0053,0,0.0238,0,0.0503,0.0317,0,0.0423,0,0,0,0,0.1071,0.1124,0.1918,0.0291,3276,27000,44900
Ball State University,Muncie,IN,0.5988,0,0.0074,0.0326,0.0009,0.1211,0,0.013,0,0.1143,0.0003,0.0264,0.0133,0.0516,0.006,0.0187,0.0922,0,0.0269,0.004,0,0,0.013,0.0034,0,0.0094,0,0.0417,0.0363,0.0204,0.0357,0,0,0,0,0.0613,0.0925,0.1435,0.0142,15895,25000,38800
Baptist Health College-Little Rock,Little Rock,AR,0.6154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,802,13393.5,43200
Baptist Memorial College of Health Sciences,Memphis,TN,0.5373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1169,30000,54100
Barclay College,Haviland,KS,0.5357,0,0,0,0,0,0,0,0,0.0577,0,0,0,0,0,0,0.0962,0,0,0,0,0,0,0,0.3846,0,0,0.2885,0,0,0,0,0,0,0,0,0,0.1731,0,228,20250,24300
