name,state,adm_rate,cost,earnings,pop,debt,ucflag
North Carolina State University at Raleigh,NC,0.516,14811,47600,22925,20500,0
North Dakota State University-Main Campus,ND,0.8274,15069,46700,11763,24000,0
Northeastern Illinois University,IL,0.5761,16619,36300,8284,14293,0
Northeastern State University,OK,0.7501,7424,34800,6914,17750,0
Northern Arizona University,AZ,0.8099,13683,39100,23189,20500,0
Northern Illinois University,IL,0.5089,18899,43800,15391,23347,0
Northern Kentucky University,KY,0.9072,8014,36000,11654,24184,0
Northern Michigan University,MI,0.7209,12039,33900,7718,22000,0
Northern State University,SD,0.8289,14597,33600,1693,24847,0
Northwest Missouri State University,MO,0.7658,10570,38000,5222,25375,0
Northwestern Oklahoma State University,OK,0.6623,8326,35300,1876,14290,0
Northwestern State University of Louisiana,LA,0.7298,11446,33900,6828,22375,0
Oakland University,MI,0.67,11631,43000,16528,25000,0
Ohio State University-Main Campus,OH,0.5296,18068,42900,43733,21959.5,0
Ohio University-Main Campus,OH,0.7427,20351,39600,23390,21250,0
Oklahoma Panhandle State University,OK,0.595,10983,34800,1136,18187,0
Oklahoma State University-Main Campus,OK,0.7495,14408,43800,20636,20083.5,0
Old Dominion University,VA,0.8189,13067,42500,19842,23178.5,0
Orange Ulster BOCES-Practical Nursing Program,NY,1,16179,42900,50,PrivacySuppressed,0
Oregon Institute of Technology,OR,0.5984,15339,52000,3457,25322.5,0
Oregon State University,OR,0.7776,18202,46000,22925,23000,0
Pennsylvania State University-Main Campus,PA,0.5029,28201,47700,39958,27000,0
Pennsylvania State University-Penn State Abington,PA,0.7934,11843,47700,3505,27000,0
Pennsylvania State University-Penn State Altoona,PA,0.8835,22193,47700,3829,27000,0
Pennsylvania State University-Penn State Beaver,PA,0.8107,16357,47700,665,27000,0
Pennsylvania State University-Penn State Berks,PA,0.8866,22159,47700,2699,27000,0
Pennsylvania State University-Penn State Brandywine,PA,0.8477,13608,47700,1334,27000,0
Pennsylvania State University-Penn State DuBois,PA,0.8862,14532,47700,490,27000,0
Pennsylvania State University-Penn State Erie-Behrend College,PA,0.867,22431,47700,3891,27000,0
Pennsylvania State University-Penn State Fayette- Eberly,PA,0.8359,13164,47700,666,27000,0
Pennsylvania State University-Penn State Greater Allegheny,PA,0.7584,15757,47700,554,27000,0
Pennsylvania State University-Penn State Harrisburg,PA,0.8208,20444,47700,3595,27000,0
Pennsylvania State University-Penn State Hazleton,PA,0.8598,19332,47700,803,27000,0
Pennsylvania State University-Penn State Lehigh Valley,PA,0.8512,13730,47700,775,27000,0
Pennsylvania State University-Penn State Mont Alto,PA,0.7802,19975,47700,837,27000,0
Pennsylvania State University-Penn State New Kensington,PA,0.8123,13332,47700,627,27000,0
Pennsylvania State University-Penn State Schuylkill,PA,0.7478,15403,47700,755,27000,0
Pennsylvania State University-Penn State Shenango,PA,0.6716,14885,47700,468,27000,0
Pennsylvania State University-Penn State Wilkes-Barre,PA,0.838,14482,47700,493,27000,0
Pennsylvania State University-Penn State Worthington Scranton,PA,0.7611,13297,47700,1073,27000,0
Pennsylvania State University-Penn State York,PA,0.8335,13391,47700,948,27000,0
Pennsylvania State University-World Campus,PA,0.5808,22264,47700,5736,27000,0
Pittsburg State University,KS,0.7919,12395,37400,5842,19557,0
Plymouth State University,NH,0.752,20249,37100,3644,27000,0
Portland State University,OR,0.6933,13992,42100,19662,23368.5,0
Prairie View A & M University,TX,0.3913,9583,34100,6905,28554,0
Puerto Rico Conservatory of Music,PR,0.6923,4945,19500,414,9000,0
Purdue University-Calumet Campus,IN,0.5968,12009,37600,7316,22028,0
Purdue University-Main Campus,IN,0.5929,14797,54300,29977,22500,0
Purdue University-North Central Campus,IN,0.7251,10104,36000,3231,25000,0
Putnam Westchester BOCES-Practical Nursing Program,NY,0.3299,13058,55900,42,PrivacySuppressed,0
Radford University,VA,0.7891,16560,42200,8843,21500,0
Ramapo College of New Jersey,NJ,0.5332,20656,46000,5447,22500,0
Rensselaer BOCES-Practical Nursing Program,NY,0.75,15430,38900,50,8132,0
Rhode Island College,RI,0.6545,9509,39100,7271,21500,0
Richard Bland College of the College of William and Mary,VA,0.5288,8689,34300,1056,10869,0
Roane State Community College,TN,0.9873,7929,27600,4626,9722,0
Rockland County BOCES-Practical Nursing Program,NY,0.96,18878,48600,96,6850,0
Rogers State University,OK,0.7701,12406,31900,3611,16000,0
Rolla Technical Institute/Center,MO,0.6533,11310,25000,145,10000,0
Rowan University,NJ,0.4357,19747,49100,11690,21500,0
Rutgers University-Camden,NJ,0.6038,13994,54500,4801,21745,0
Rutgers University-New Brunswick,NJ,0.605,20079,54500,34094,21745,0
Rutgers University-Newark,NJ,0.6275,12497,54500,6841,21745,0
Saginaw Valley State University,MI,0.7996,14058,37400,8453,27000,0
Saint Cloud State University,MN,0.8219,14183,41600,10878,23185,0
Salem State University,MA,0.7057,15762,40400,7180,25000,0
Salisbury University,MD,0.5469,16641,46200,7782,20250,0
Sam Houston State University,TX,0.7367,12237,41100,16819,22208,0
San Diego State University,CA,0.3448,12567,47400,27824,15998,0
San Francisco State University,CA,0.6597,11658,47200,25170,17501,0
San Jose State University,CA,0.5985,12862,53700,26528,15628,0
Savannah State University,GA,0.7763,10530,29600,4659,33202,0
Shepherd University,WV,0.9829,10178,37600,3489,22478,0
Shippensburg University of Pennsylvania,PA,0.8313,19514,44600,6246,25000,0
Slippery Rock University of Pennsylvania,PA,0.6597,17690,38900,7529,25250,0
Sonoma State University,CA,0.8002,15913,44400,8441,17881,0
South Carolina State University,SC,0.8454,18891,28900,2753,34500,0
South Dakota School of Mines and Technology,SD,0.8802,17723,50600,2336,27000,0
South Dakota State University,SD,0.9201,16152,40700,10003,25245,0
Southeast Missouri State University,MO,0.8478,12050,35900,9382,22105,0
Southeastern Louisiana University,LA,0.8373,10022,34800,11199,21313,0
Southeastern Oklahoma State University,OK,0.7867,7979,34100,3372,15864,0
Southeastern Technical Institute,MA,0.7125,12181,33300,122,6962,0
Southern Arkansas University Main Campus,AR,0.7142,10150,34000,2784,17000,0
Southern Connecticut State University,CT,0.7154,14741,40700,8133,24099,0
Southern Illinois University-Carbondale,IL,0.8153,16247,41200,13171,22250,0
Southern Illinois University-Edwardsville,IL,0.8696,16725,39800,11371,21875,0
Southern Oregon University,OR,0.7737,13755,36800,4397,23334,0
Southern Polytechnic State University,GA,0.7906,12033,55800,5890,25125,0
Southern University and A & M College,LA,0.5365,12106,33100,5133,31271.5,0
Southern University at New Orleans,LA,0.207,7711,29200,1658,23590,0
Southern Utah University,UT,0.6103,12951,38100,5514,13237,0
Southern Westchester BOCES-Practical Nursing Program,NY,0.2891,22731,58100,165,11693,0
Southwest Minnesota State University,MN,0.6694,14387,36200,2359,22500,0
Southwest Tennessee Community College,TN,1,4861,24700,9601,PrivacySuppressed,0
Southwestern Oklahoma State University,OK,0.8526,10686,37200,4051,16675,0
St Mary's College of Maryland,MD,0.7887,16881,47700,1668,20962.5,0
State University of New York at New Paltz,NY,0.4193,16353,43600,6464,19500,0
Stephen F Austin State University,TX,0.5851,19556,39100,10692,25000,0
Stockton University,NJ,0.6475,20433,46700,7676,21500,0
Stony Brook University,NY,0.4134,13519,55000,16170,19351,0
Sul Ross State University,TX,0.934,10925,37800,2018,15250,0
SUNY at Albany,NY,0.5584,16144,50100,12659,21489.5,0
SUNY at Binghamton,NY,0.4406,18536,57400,13372,20000,0
SUNY at Fredonia,NY,0.5322,16708,39600,4900,24750,0
SUNY at Purchase College,NY,0.4082,19103,34400,3925,22844,0
SUNY Buffalo State,NY,0.6155,11899,38100,9185,21500,0
SUNY College at Brockport,NY,0.4895,14949,41300,6951,21500,0
SUNY College at Cortland,NY,0.4896,18661,45000,6311,21500,0
SUNY College at Geneseo,NY,0.5913,18305,46200,5497,20500,0
SUNY College at Old Westbury,NY,0.6235,7756,43200,4173,15609.5,0
SUNY College at Oswego,NY,0.4837,16916,40800,7102,22500,0
SUNY College at Plattsburgh,NY,0.4786,14741,39500,5430,22000,0
SUNY College at Potsdam,NY,0.6758,15445,36700,3669,25500,0
SUNY College of Agriculture and Technology at Cobleskill,NY,0.7334,15364,33700,2512,17492,0
SUNY College of Environmental Science and Forestry,NY,0.5113,18321,42000,1718,20450,0
SUNY College of Technology at Alfred,NY,0.5424,15293,36900,3607,14750,0
SUNY College of Technology at Canton,NY,0.8067,12149,32600,3140,19147,0
SUNY College of Technology at Delhi,NY,0.6819,14339,35800,3407,15250,0
SUNY Empire State College,NY,0.8112,12857,39300,9949,24089,0
SUNY Maritime College,NY,0.5265,18431,74500,1624,26500,0
SUNY Oneonta,NY,0.4988,17209,42300,5803,22500,0
SUNY Polytechnic Institute,NY,0.561,15920,49600,1890,17500,0
Syracuse City Schools Practical Nursing Program,NY,1,13263,32600,33,9500,0
Tarleton State University,TX,0.5254,15210,40600,10214,20500,0
Temple University,PA,0.6173,19918,47200,27669,25999.5,0
Tennessee Technological University,TN,0.9441,13203,36600,10039,15587,0
Texas A & M International University,TX,0.467,4569,43200,6706,14929,0
Texas A & M University-College Station,TX,0.7103,11315,53900,46941,19000,0
Texas A & M University-Commerce,TX,0.4784,9263,36900,7358,20250,0
Texas A & M University-Corpus Christi,TX,0.8462,14165,41200,9074,23000,0
Texas A & M University-Kingsville,TX,0.8357,11924,38800,8815,20000,0
Texas A & M University-Texarkana,TX,0.4755,6637,34400,1386,12500,0
Texas Southern University,TX,0.5192,18023,30500,6880,31000,0
Texas State University,TX,0.729,13363,43400,32177,21358.5,0
Texas Tech University,TX,0.6613,15315,47500,28278,22500,0
Texas Woman's University,TX,0.8531,8855,44600,9327,20000,0
Thaddeus Stevens College of Technology,PA,0.2383,6968,38900,891,8358,0
The California Maritime Academy,CA,0.667,15472,79400,1047,26000,0
The College of New Jersey,NJ,0.4897,22516,56000,6407,23250,0
The Evergreen State College,WA,0.989,12971,32800,3802,17264,0
The University of Alabama,AL,0.5105,20787,41900,29851,23750,0
The University of Montana,MT,0.9272,12863,34300,10969,23431,0
The University of Tennessee-Chattanooga,TN,0.7728,12404,36100,10213,20090.5,0
The University of Tennessee-Knoxville,TN,0.7483,15949,42300,21396,19998.5,0
The University of Tennessee-Martin,TN,0.7334,7944,35600,6387,24109,0
The University of Texas at Arlington,TX,0.614,13790,45900,29616,18750,0
The University of Texas at Austin,TX,0.3966,17152,53000,38914,22159.5,0
The University of Texas at Dallas,TX,0.6194,12050,49700,14300,19000,0
The University of Texas at El Paso,TX,0.9989,6984,39100,19614,17529,0
The University of Texas at San Antonio,TX,0.7591,11867,43100,23815,23348,0
The University of Texas at Tyler,TX,0.8358,13016,42200,5550,18345,0
The University of Texas of the Permian Basin,TX,0.87,6900,42600,3311,13750,0
The University of Texas Rio Grande Valley,TX,0.628,2840,39600,17811,12036.5,0
The University of Virginia's College at Wise,VA,0.6882,11578,36500,1477,20844.5,0
The University of West Florida,FL,0.4167,11227,35800,9794,18750,0
Towson University,MD,0.5921,16363,49200,18546,18500,0
Troy University,AL,0.4414,11907,35600,15025,25000,0
Truman State University,MO,0.7448,12148,43000,5394,22250,0
Ulster BOCES School of Practical Nursing,NY,0.9821,15504,35900,143,9500,0
University at Buffalo,NY,0.5781,16293,48400,19488,19500,0
University of Akron Main Campus,OH,0.9571,18025,34300,18148,26000,0
University of Alabama at Birmingham,AL,0.8569,14789,39700,11383,21941.5,0
University of Alabama in Huntsville,AL,0.8203,18596,45500,5451,24097,0
University of Arizona,AZ,0.7462,15215,44000,32646,19000,0
University of Arkansas,AR,0.6204,14143,43400,21405,21500,0
University of Arkansas at Little Rock,AR,0.5928,13619,33900,7942,21736,0
University of Arkansas at Pine Bluff,AR,0.3868,8134,27200,2391,27728.5,0
University of Arkansas Community College-Morrilton,AR,0.6181,5566,26100,1920,8000.5,0
