X,Y,OBJECTID,Building_Code,School_Name,Type,Authorized_Grades,District,Charter_Authorizer,ESP_2013_2014,Street_Address,School_Type,Zip,Alternative_Flag,School_Label,SkillmanArea,SkillmanAreaAlt,TotalStudentsFall2013,SchoolType2,TotalStudentMiles,AvgStudentMiles
-83.119840096621459,42.332681385963454,92,09154,Voyageur Consortium High School,HS,"9,10,11,12",Voyageur Academy,Ferris State University,Leona Group,4366 Military,Charter,48210,,Voyageur Consortium High School,Chadsey/Condon,Chadsey/Condon,817,Charter,3969.442708,4.858559
-83.230296346748148,42.364091258654604,93,01241,W-A-Y Academy - Chicago Site,HS,"7,8,9,10,11,12",W-A-Y Academy,Lake Superior State University,W-A-Y,19321 W Chicago St,Charter,48228,,W-A-Y Academy - Chicago Site,Cody Rouge,Cody Rouge,131,Charter,399.04094,3.046114
-83.132881750279708,42.308971806048191,94,01390,W-A-Y Academy - Vernor Site,HS,"9,10,11,12",W-A-Y Academy,Lake Superior State University,W-A-Y,8701 West Vernor Highway,Charter,48209,,W-A-Y Academy - Vernor Site,Southwest Detroit Neighborhoods,Southwest,425,Charter,1577.673342,3.747443
-83.092482710190922,42.319083635290376,95,04477,Western International High School,HS,"9,10,11,12",Detroit City School District,,,1500 Scotten St,DPS,48209,,Western International High School,Southwest Detroit Neighborhoods,Southwest,1632,Detroit City District,5420.646792,3.321475
-83.02504253921218,42.42665156593641,96,08455,Winans Academy High School,HS,"9,10,11,12",Marvin L. Winans Academy of Performing Arts,Saginaw Valley State University,Solid Rock,7616 East Nevada St,Charter,48234,,Winans Academy High School,Osborn,Osborn,303,Charter,1700.38249,5.611823
-83.110010503531271,42.326763845692327,97,07793,Academy of The Americas,K8,"KG,1,2,3,4,5,6,7,8",Detroit City School District,,,5680 Konkel St,DPS,48210,,Academy of The Americas,Chadsey/Condon,Chadsey/Condon,708,Detroit City District,1811.514869,2.558637
-83.158404527846969,42.441450956262585,98,08047,Aisha Shule/WEB Dubois Prep. Academy School,K8,"6,7,8,9,10,11,12",Aisha Shule/WEB Dubois Prep. Academy School,Detroit City School District,Key Concepts Educational Management Company,20119 Wisconsin St,DPS Charter,48221,,Aisha Shule/WEB Dubois Preparatory Academy School,,,124,Charter,468.811501,3.780738
-83.11976064240379,42.363632608933337,99,09319,Allen Academy,K12,"KG,1,2,3,4,5,6,7,8,9,10,11,12",Allen Academy,Ferris State University,Leona Group,8666 Quincy St,Charter,48204,,Allen Academy,,,1002,Charter,2708.089019,2.702684
-83.151586181007502,42.424367281303567,100,00168,Bagley Elementary School,K8,"KG,1,2,3,4,5,6",Detroit City School District,,,8100 Curtis St,DPS,48221,,Bagley Elementary School,,,389,Detroit City District,425.886938,1.094825
-83.162586375985114,42.437943599333252,101,02882,Bates Academy,K8,"KG,1,2,3,4,5,6,7,8",Detroit City School District,,,19701 Wyoming St,DPS,48221,,Bates Academy,,,853,Detroit City District,4492.175598,5.266325
-83.129904992594433,42.309241602352159,102,00277,Bennett Elementary School,K8,"KG,1,2,3,4,5",Detroit City School District,,,2111 Mullane St,DPS,48209,,Bennett Elementary School,Southwest Detroit Neighborhoods,Southwest,443,Detroit City District,440.927823,0.995322
-83.00599489083119,42.389356674751369,103,02058,Blackwell Institute,K8,"KG,1,2,3,4,5,6,7,8",Detroit City School District,,,9330 Shoemaker St,DPS,48213,,Blackwell Institute,,,425,Detroit City District,978.208967,2.301668
-83.204890497520992,42.436891391060755,104,04319,Bow Elementary-Middle School,K8,"KG,1,2,3,4,5,6,7,8",Detroit City School District,,,19801 Prevost St,DPS,48235,,Bow Elementary-Middle School,,,520,Detroit City District,950.701386,1.828272
-83.004331146848898,42.430284827825425,105,09341,Brenda Scott Elementary-Middle,K8,"KG,1,2,3,4,5,6,7,8",Education Achievement System-EAS,,,18440 Hoover St,EAA,48205,,Brenda Scott Elementary-Middle,Osborn,Osborn,736,EAA,1193.556709,1.62168
-82.96297131420188,42.428261354644832,106,09991,Brewer Elementary-Middle School,K8,"KG,1,2,3,4,5,6,7,8",Detroit City School District,,,18025 Brock St,DPS,48205,,Brewer Elementary-Middle School,,,575,Detroit City District,950.502319,1.653048
-83.062076630935977,42.407244190998249,107,00923,Bridge Academy West,K8,"6,7,8",Bridge Academy,Ferris State University,Global Educational Excellence,3105 Carpenter Road,Charter,48212,,Bridge Academy West,,,233,Charter,302.698266,1.299134
-82.948349813675435,42.40483955978349,108,04062,"Brown, Ronald Academy",K8,"KG,1,2,3,4,5,6",Detroit City School District,,,11530 East Outer Dr,DPS,48224,,Ronald Brown Academy,,,747,Detroit City District,1254.710354,1.679666
-83.02426911532919,42.343743053098947,109,00446,Bunche Elementary-Middle School,K8,"KG,1,2,3,4,5,6,7,8",Detroit City School District,,,2715 Macomb Street,DPS,48207,,Bunche Elementary-Middle School,,,513,Detroit City District,1578.873478,3.077726
-83.191426157404251,42.393034894784947,110,00456,Burns Elementary-Middle School,K8,"KG-Part,1,2,3,4,5,6,7,8",Education Achievement System-EAS,,,14350 Terry St,EAA,48227,,Burns Elementary-Middle School,,,364,EAA,450.474422,1.237567
-83.078337854748554,42.339180040559754,111,00468,Burton International School,K8,"KG,1,2,3,4,5,6,7,8",Detroit City School District,,,2001 Martin Luther King Jr. Blvd,DPS,48208,,Burton International School,,,579,Detroit City District,2923.712945,5.049591
-82.94604606879615,42.426894386147978,112,05553,Carleton Elementary School,K8,"KG,1,2,3,4,5",Detroit City School District,,,11724 Casino St,DPS,48224,,Carleton Elementary School,,,345,Detroit City District,382.979642,1.110086
-82.948051552360269,42.364247602268044,113,00542,Carstens Elementary-Middle School,K8,"KG,1,2,3,4,5,6,7,8",Detroit City School District,,,13000 Essex Avenue,DPS,48215,,Carstens Elementary-Middle School,,,529,Detroit City District,1181.388357,2.233248
-83.223515453608641,42.335627710854823,114,00546,Carver Elementary-Middle School,K8,"KG,1,2,3,4,5,6,7,8",Detroit City School District,,,18701 Paul St,DPS,48228,,Carver Elementary-Middle School,Cody Rouge,Cody Rouge,355,Detroit City District,476.987945,1.343628
-83.128716406200141,42.31092678140331,115,08347,Cesar Chavez Academy Elementary,K8,"KG,1,2",Cesar Chavez Academy,Saginaw Valley State University,Leona Group,8126 West Vernor Hwy,Charter,48209,,Cesar Chavez Academy Elementary,Southwest Detroit Neighborhoods,Southwest,474,Charter,872.106867,1.843778
-83.125615227744191,42.329143602688909,116,00173,Cesar Chavez Academy Intermediate,K8,"3,4,5",Cesar Chavez Academy,Saginaw Valley State University,Leona Group,4100 Martin St,Charter,48210,,Cesar Chavez Academy Intermediate,Chadsey/Condon,Chadsey/Condon,455,Charter,1081.7824,2.377544
-83.114983754632902,42.311493354628347,117,08569,Cesar Chavez Middle School,K8,"6,7,8",Cesar Chavez Academy,Saginaw Valley State University,Leona Group,6782 Goldsmith St,Charter,48209,,Cesar Chavez Middle School,Southwest Detroit Neighborhoods,Southwest,560,Charter,1131.64695,2.020798
-83.268075400149073,42.431516887402502,118,09125,Charles Wright School,K8,"KG,1,2,3,4",Detroit City School District,,,19299 Berg Rd,DPS,48219,,Charles Wright School,,,515,Detroit City District,1321.962843,2.566918
-83.034377498047164,42.337393837425843,119,00689,Chrysler Elementary School,K8,"KG,1,2,3,4,5",Detroit City School District,,,1445 East Lafayette St,DPS,48207,,Chrysler Elementary School,,,188,Detroit City District,1457.101131,7.791985
-83.115172611385717,42.3094698804207,120,00238,"Clemente, Roberto Academy",K8,"KG,1,2,3,4,5",Detroit City School District,,,1551 Beard St,DPS,48209,,Roberto Clemente Academy,Southwest Detroit Neighborhoods,Southwest,745,Detroit City District,862.667595,1.157943
